time,event,event_type,run_impact,comment,source_doc
2026-04-25,Создан каталог `D:\HOME_BASE\VKR_Experiments`,note,none,Пункт: 1 | Результат: Выполнено | Основной каталог размещён на Windows-хосте,00_docs\stage_4_0_log.md
2026-04-25,Установлены и проверены базовые утилиты на `VPLC_HOST`,validation,none,"Пункт: 6 | Результат: Выполнено | Проверены версии: curl 7.81.0, wget 1.21.2, git 2.34.1, htop 3.0.5, sysstat 12.5.2, net-tools 2.10-alpha, ethtool 5.16; `lshw` запускается",00_docs\stage_4_0_log.md
2026-04-25,Снят первый конфигурационный снимок `VPLC_HOST`,measurement,none,"Пункт: 7 | Результат: Выполнено | Файл `configs/vplc_host_config_snapshot_2026-04-25_initial.txt`; снимок получен по SSH с `ENG_NODE` и содержит ОС, ядро, CPU, RAM, диск, интерфейсы, маршруты, слушающие порты, сервисы и выбранные пакеты",00_docs\stage_4_0_log.md
2026-04-25,Установлен и проверен Podman на `VPLC_HOST`,validation,none,"Пункт: 8 | Результат: Выполнено | `podman --version`: 3.4.4; `podman run --rm hello-world` выполнен успешно; `podman info`: runtime `crun`, arch `amd64`, graph root `/home/vkr/.local/share/containers/storage`; первичная проверка выполнена в rootless-режиме пользователя `vkr`",00_docs\stage_4_0_log.md
2026-04-25,Снят конфигурационный снимок `VPLC_HOST` после установки Podman,measurement,none,"Пункт: 8 | Результат: Выполнено | Файл `configs/vplc_host_config_snapshot_2026-04-25_after_podman.txt`; подтверждает Podman 3.4.4, rootless=true, cgroup v2, runtime `crun`, storage overlay",00_docs\stage_4_0_log.md
2026-04-25,Установлены и проверены VPLC / VPLC Server в Linux CLI-режиме,validation,none,"Пункт: 9 | Результат: Выполнено | Пакеты: `vplc` 2.10.0, `vplc-server` 2.7.0; команды `/usr/local/bin/vplc` и `/usr/local/bin/vplc-server`; `help`, `config`, `status` доступны; карточка проверки `vplc/masc_vplc/cli_check_2026-04-25.md`",00_docs\stage_4_0_log.md
2026-04-25,Зафиксировано ограничение текущей CLI-проверки VPLC,decision,medium,"Пункт: 9 | Результат: Требует повторной проверки перед прогонами | Во время проверки был активен Wi-Fi, поэтому `vplc config` отображал IP `192.168.31.109`; перед экспериментами необходимо отключить Wi-Fi и перепроверить VPLC в стендовом сегменте `192.168.10.0/24`",00_docs\stage_4_0_log.md
2026-04-25,Снят конфигурационный снимок после проверки VPLC CLI,measurement,none,Пункт: 9 | Результат: Выполнено | Файл `configs/vplc_host_config_snapshot_2026-04-25_after_vplc_cli.txt`; русскоязычный вывод VPLC CLI перекодирован в читаемый UTF-8 после первичного mojibake при перенаправлении PowerShell,00_docs\stage_4_0_log.md
2026-04-25,Скорректирован порядок следующих шагов VPLC,decision,none,Пункт: 10-11 | Результат: Принято инженерное решение | Перед контейнеризацией выполняется штатная проверка VPLC Studio ↔ VPLC_HOST и минимальный тестовый проект; решение зафиксировано в `00_docs/decisions.md` как DEC-002,00_docs\stage_4_0_log.md
2026-04-25,Проверена доступность VPLC для подключения Studio из стендового сегмента,validation,none,"Пункт: 10 | Результат: Подготовлено к проверке Studio | На `VPLC_HOST` порт `1234` слушает `0.0.0.0`; с `ENG_NODE` `Test-NetConnection 192.168.10.20 -Port 1234` успешен; порт VPLC Server `50530` недоступен, сервер остановлен",00_docs\stage_4_0_log.md
2026-04-25,Зафиксирована роль VPLC Server в первых сериях,decision,low,"Пункт: 10 | Результат: Принято инженерное решение | VPLC Server установлен и проверен, но не включается в первый baseline-контур; контейнеризация Server откладывается до расширенных сценариев; решение зафиксировано в `00_docs/decisions.md` как DEC-003",00_docs\stage_4_0_log.md
2026-04-25,Установлена и запущена VPLC Studio на `ENG_NODE`,config,blocking,"Пункт: 10 | Результат: Частично выполнено | VPLC Studio 4.1.3 beta, сборка 09.04.2026 19:27:38; скриншоты `screenshots/VPLC Studio/01.png`, `screenshots/VPLC Studio/02.png`; подключение к `VPLC_HOST` ещё не выполнено, в строке состояния отображается `127.0.0.1:1234`",00_docs\stage_4_0_log.md
2026-04-25,Проверено подключение VPLC Studio к `VPLC_HOST`,validation,none,Пункт: 10 | Результат: Выполнено | Studio подключилась к `192.168.10.20:1234`; в выходных данных есть `Соединение с ВПЛК установлено`; `vplc status` показывает 1 активное локальное соединение; скриншоты `screenshots/VPLC Studio/03.png` ... `screenshots/VPLC Studio/08.png`; карточка `vplc/masc_vplc/studio_check_2026-04-25.md`,00_docs\stage_4_0_log.md
2026-04-25,Проведена первичная ревизия встроенной документации VPLC Studio по ST,note,medium,"Пункт: 10 | Результат: Выполнено частично | Документация найдена в `C:\Program Files\vplc-studio\resources\documentation`; базовые разделы ST пока содержат `Раздел в разработке...`, подробно описаны категории встроенных функций; выводы зафиксированы в `vplc/masc_vplc/st_language_review_2026-04-25.md`",00_docs\stage_4_0_log.md
2026-04-25,"Создан, собран, загружен и запущен минимальный проект VPLC",start,none,"Пункт: 10 | Результат: Выполнено | Проект `vplc/masc_vplc/vkr_minimal_vplc_test/vkr_minimal_vplc_test.vplc`; фактическое имя в Studio `vkr_minimal_vplc_tes`; ST-задача `cycle_counter := cycle_counter + 1;`; внешняя переменная `cycle_counter` типа `UDINT`; программа работает, цикл около 0.056 мс при заданных 100 мс; карточка `vplc/masc_vplc/minimal_project_check_2026-04-25.md`",00_docs\stage_4_0_log.md
2026-04-25,Снят CLI snapshot `VPLC_HOST` после запуска минимального проекта,measurement,none,"Пункт: 10 | Результат: Выполнено | Файл `configs/vplc_host_config_snapshot_2026-04-25_after_studio_test.txt`; подтверждает `wlo1 DOWN`, `enp2s0 192.168.10.20/24`, VPLC `0.0.0.0:1234`, программа `vkr_minimal_vplc_tes` работает, цикл `0.051/100 ms`, 1 тег, VPLC Server остановлен",00_docs\stage_4_0_log.md
2026-04-27,Установлен TIA Portal на инженерный Windows-хост `ENG_NODE`,validation,none,Пункт: 12 | Результат: Выполнено | По реестру Windows подтверждён Siemens Totally Integrated Automation Portal V20; для ряда STEP 7 / WinCC компонентов виден уровень V20.0 UPD5; snapshot `configs/eng_node_tia_portal_registry_snapshot_2026-04-27.txt`; следующий шаг — проверить доступность сетевого адаптера стенда и подготовить онлайн-доступ к `HW_PLC`,00_docs\stage_4_0_log.md
2026-04-27,Создан и загружен минимальный проект TIA Portal для S7-1200,config,none,"Пункт: 12 | Результат: Выполнено по сообщению оператора и скриншоту | Проект `vkr_s7_min` сохранён в `plc/siemens_s7_1200/tia_projects/vkr_s7_min`; CPU `6ES7 215-1HG40-0XB0 [CPU 1215C DC/DC/Rly]`; firmware в проекте `V4.5.1`; IP в проекте `192.168.10.10/24`; TIA подключён online, CPU в `RUN`; карточка `plc/siemens_s7_1200/tia_project_check_2026-04-27.md`; дополнительная счётчиковая логика для smoke-test не добавляется",00_docs\stage_4_0_log.md
2026-04-27,Проверена связь `ENG_NODE -> HW_PLC`,validation,none,"Пункт: 5 | Результат: Выполнено | `Test-NetConnection 192.168.10.10`: `PingSucceeded: True`, RTT 2 ms; аппаратный PLC доступен с инженерного Windows-хоста в стендовом сегменте",00_docs\stage_4_0_log.md
2026-04-27,Проведена ревизия порядка выполнения плана,decision,medium,"Пункт: 11-13 | Результат: Выполнено | Зафиксировано, что пункт 11 ещё не начат, пункт 12 выполнен только частично, а переход к пункту 13 преждевременен; дальнейшая работа возвращается к пункту 11",00_docs\stage_4_0_log.md
2026-04-27,Исправлена постоянная сетевая конфигурация `VPLC_HOST` после сброса cloud-init,decision,none,"Пункт: 4 | Результат: Выполнено | После reboot `50-cloud-init.yaml` оказался пустым (`ethernets: {}`), из-за чего `enp2s0` поднялся без IPv4; создан `/etc/cloud/cloud.cfg.d/99-disable-network-config.cfg` с `network: {config: disabled}` и `/etc/netplan/01-vkr-stand.yaml`; после перезагрузки `enp2s0` сохраняет `192.168.10.20/24`, SSH восстановлен; решение зафиксировано как DEC-004",00_docs\stage_4_0_log.md
2026-04-27,Начата реализация контейнерного профиля VPLC runtime через Podman,measurement,none,"Пункт: 11 | Результат: В работе | Создана папка `vplc/masc_vplc/container_profile`; подготовлены `scripts/linux/inspect_vplc_runtime_for_container.sh` и `scripts/windows/collect_vplc_container_prereq_snapshot.ps1`; следующий шаг — снять snapshot фактических unit-файлов, процессов, портов и путей VPLC на `VPLC_HOST`",00_docs\stage_4_0_log.md
2026-04-27,Снят prerequisite snapshot перед контейнеризацией VPLC runtime,measurement,none,"Пункт: 11 | Результат: Выполнено | Файл `configs/vplc_host_container_prereq_snapshot_2026-04-27.txt`; подтверждены `vplc.service`, `ExecStart=/usr/local/bin/vplc --service`, пользователь `vplc`, writable-каталоги `/var/lib/vplc`, `/var/cache/vplc`, `/var/log/vplc`, `/run/vplc`, порт `0.0.0.0:1234`; ревизия `vplc/masc_vplc/container_profile/prereq_snapshot_review_2026-04-27.md`",00_docs\stage_4_0_log.md
2026-04-27,Подготовлен первичный Podman-профиль VPLC runtime,validation,none,"Пункт: 11 | Результат: В работе | Добавлены `vplc/masc_vplc/container_profile/Containerfile`, `scripts/linux/build_vplc_container_image.sh`, `scripts/linux/run_vplc_container_smoke.sh`, `scripts/windows/deploy_vplc_container_profile.ps1`; профиль ещё не собран и не проверен на `VPLC_HOST`",00_docs\stage_4_0_log.md
2026-04-28,Собран и проверен контейнерный smoke-test VPLC runtime,validation,medium,"Пункт: 11 | Результат: Выполнено частично | Образ `localhost/vkr-vplc-runtime:2.10.0`, image id `ab5cb36e7c4c1d3a73b05825ce82a344e1796f25d2425333a6522a77c664d8aa`; контейнер `vkr-vplc-runtime-smoke`, id `209925adca40a58a1807979994d47f6515dc129b930446a73fe87876b480769d`; Wi-Fi отключён, `enp2s0=192.168.10.20/24`, порт `1234` доступен с `ENG_NODE`; карточка `vplc/masc_vplc/container_profile/container_smoke_check_2026-04-28.md`; требуется проверка VPLC Studio и финальный snapshot",00_docs\stage_4_0_log.md
2026-04-28,Проверен workflow VPLC Studio -> контейнерный VPLC runtime,validation,medium,"Пункт: 11 | Результат: Выполнено | VPLC Studio подключилась к `192.168.10.20:1234`, программа `vkr_minimal_vplc_tes` загружена и запущена в контейнерном VPLC, мониторинг `cycle_counter` работает; скриншоты `screenshots/VPLC Studio/02/01.png` ... `screenshots/VPLC Studio/02/04.png`; требуется финальный snapshot контейнерного режима перед коммитом",00_docs\stage_4_0_log.md
2026-04-28,Снят финальный snapshot контейнерного режима VPLC runtime,measurement,none,"Пункт: 11 | Результат: Выполнено | Файл `configs/vplc_host_container_smoke_snapshot_2026-04-28.txt`; подтверждает, что bare-metal `vplc.service` и `vplc-server.service` inactive, контейнер `vkr-vplc-runtime-smoke` running, image `localhost/vkr-vplc-runtime:2.10.0`, `network=host`, порт `0.0.0.0:1234`, в логах есть подключение Studio, загрузка и запуск программы",00_docs\stage_4_0_log.md
2026-04-28,Скорректирован план перед первым коротким прогоном,decision,none,"Пункт: 12-15 | Результат: Выполнено | Минимальный счётчиковый проект S7-1200 признан необязательным, так как инфраструктурный workflow PLC уже проверен; перед первым прогоном добавлены пункты разработки сопоставимой workload-программы и карты метрик/логирования; решение зафиксировано как DEC-006",00_docs\stage_4_0_log.md
2026-05-02,Проведён методический аудит и выравнивание плановых артефактов перед workload/RawLogs,error,blocking,"Пункт: 13-14 | Результат: Выполнено, без экспериментальных данных | Актуализированы сетевой план, черновая матрица режимов, рабочий manifest и карточки проверок S7/VPLC; первый короткий прогон остаётся заблокирован до реализации workload-программ и метода съёма `RawLogs`",00_docs\stage_4_0_log.md
2026-05-02,Зафиксированы черновой профиль workload v0 и схема `RawLogs` v0,measurement,none,"Пункт: 13-14 | Результат: Выполнено, без экспериментальных данных | Добавлены `configs/workload_profile_v0.yaml` и `configs/rawlogs_schema_cycle_v0.yaml`; `00_docs/workload_and_metrics_plan.md`, `configs/mode_matrix.yaml` и manifest связаны с этими артефактами; реализация workload и валидация timestamp/source ещё впереди",00_docs\stage_4_0_log.md
2026-05-02,Подготовлены черновые Siemens SCL external source файлы для workload v0,measurement,medium,"Пункт: 13 | Результат: Выполнено, требует проверки в TIA Portal | Добавлены `plc/siemens_s7_1200/scl_sources/DB_VKR_S7_Run.scl`, SCL source для cyclic OB и `plc/siemens_s7_1200/scl_sources/README.md`; код использует внутренний источник времени-кандидат, кольцевой DB-буфер и не является экспериментальным прогоном",00_docs\stage_4_0_log.md
2026-05-02,Скорректирован Siemens SCL timing source после ошибки импорта TIA Portal,note,medium,"Пункт: 13 | Результат: Выполнено, требует повторного импорта | TIA Portal сообщил, что `TIME_TCK` не поддерживается текущей CPU/версией библиотеки; SCL-исходники обновлены на `RD_LOC_T().NANOSECOND` с ограничением применимости для соседних вызовов циклического OB менее 1 секунды",00_docs\stage_4_0_log.md
2026-05-02,Siemens SCL source переведён с `OB30` на обычный cyclic OB `OB123`,processing,medium,"Пункт: 13 | Результат: Выполнено, требует повторного импорта | По решению оператора сравнение Siemens выполняется на обычном циклическом OB; source переименован в `plc/siemens_s7_1200/scl_sources/OB123_VKR_WorkloadCycle.scl`, порог `deadline_threshold_ms` установлен `100.0 ms`; `Tper` считается как фактический start-to-start между соседними вызовами cyclic OB",00_docs\stage_4_0_log.md
2026-05-02,Siemens SCL source обновлён до workload/logging v0.2,processing,medium,"Пункт: 13-14 | Результат: Выполнено, требует повторного импорта и TECH-проверки | В `DB_VKR_S7_Run` и `OB123_VKR_WorkloadCycle` добавлены `freeze_logging`, `reset_log_request`, ступени `load_level=0..3` и `load_passes`; reset сбрасывает состояние и индексы, а чистый ручной snapshot выполняется после полного перезаполнения буфера и включения `freeze_logging`; экспериментальные KPI не формировались",00_docs\stage_4_0_log.md
2026-05-02,Зафиксирован набор HW PLC S7-1200 Mode для первых съёмов RawLogs,measurement,low,"Пункт: 13-14 | Результат: Выполнено, без финальных KPI | В `configs/mode_matrix.yaml`, manifest и план внесены `S7_L0_IDLE_10_20`, `S7_L1_LIGHT_10_20`, `S7_L2_MEDIUM_25_35`, `S7_L3_HIGH_75_100`, `S7_L3_STRESS_75_80`; уровни нагрузки зафиксированы как `0/32/128/512` проходов; буфер 1000 строк допустим для технической цепочки и первых снимков, для финальных хвостовых метрик требуются повторные серии или расширенный/потоковый съём",00_docs\stage_4_0_log.md
2026-05-02,Подготовлен конвертер Siemens DB snapshot -> RawLogs CSV,measurement,none,"Пункт: 14 | Результат: Выполнено, без записи RawLogs в рамках подготовки | Добавлен `scripts/python/convert_s7_db_snapshot_to_rawlogs.py`; dry-run на `S7_*.db` проверяет имена, ModeID, параметры DB, полноту буфера и планируемые `RunID`; схема RawLogs расширена полем `timestamp_tick_ns` для `RD_LOC_T().NANOSECOND`",00_docs\stage_4_0_log.md
2026-05-09,Подготовлен первичный обработчик RawLogs -> processed tables,measurement,none,"Пункт: 14 | Результат: Выполнено для проверки пайплайна HW PLC, без сравнительных выводов | Добавлен `scripts/python/process_cycle_rawlogs.py`; обработаны 25 HW PLC CSV RawLogs в `processed_tables\hw_plc_s7_1200\run_metrics.csv` и `mode_metrics.csv`; таблицы являются производными артефактами и не заменяют RawLogs; сравнительные summary cards откладываются до получения VPLC RawLogs",00_docs\stage_4_0_log.md
2026-05-09,Начата подготовка зеркальной VPLC workload и метода RawLogs,measurement,medium,"Пункт: 13-14 | Результат: В работе, без VPLC RawLogs | Добавлены черновые ST-исходники `vplc\masc_vplc\st_sources\VPLC_WorkloadCycle_v0_2.st`, numbered fallback, карта переменных и план `00_docs\vplc_workload_rawlogs_plan.md`; в `configs\mode_matrix.yaml` добавлены зеркальные `VPLC_*` режимы со статусом ожидания реализации workload и метода съёма RawLogs",00_docs\stage_4_0_log.md
2026-05-09,Загружен и запущен VPLC workload v0.2 на bare-metal VPLC,measurement,none,"Пункт: 13-14 | Результат: Выполнено как smoke-test, без RawLogs и KPI | Проект `vplc\masc_vplc\vkr_minimal_vplc_test\vkr_vplc_wl.vplc` собран в VPLC Studio и загружен в `VPLC_HOST`; скриншоты `screenshots\VPLC Studio\03\Test_01.png` и `Test_02.png` подтверждают `init_done=True`, рост `cycle_counter`, `load_level=0`, `load_passes_effective=0`, `workload_accumulator` изменяется, цикл около `0.057 / 100 ms`; следующий шаг - проверить переключение `load_level=1/2/3` и выбрать метод съёма VPLC RawLogs",00_docs\stage_4_0_log.md
2026-05-09,Проверено переключение уровней нагрузки VPLC workload v0.2,error,low,"Пункт: 13-14 | Результат: Выполнено как TECH-проверка, без RawLogs и KPI | Скриншоты `screenshots\VPLC Studio\03\Test_2_01.png` ... `Test_4_02.png` подтверждают `load_level=1/2/3`, `load_passes_effective=32/128/512`, `error_flag=False`; ориентировочный статусный цикл VPLC Studio: около `0.068 / 100 ms` для L1, `0.106 / 100 ms` для L2, `0.252 / 100 ms` для L3; эти значения используются только для проверки работоспособности workload, не как экспериментальные KPI",00_docs\stage_4_0_log.md
2026-05-09,Проверен кандидат B для VPLC RawLogs: dump/log files,measurement,low,"Пункт: 14 | Результат: Выполнено как TECH-probe, RawLogs не сформированы | Probe `vplc\masc_vplc\dump_log_probe\probe_20260509_162808` показал, что `vplc_dump_dict.dat` описывает 56 переменных, а `vplc_dump.dat`/`vplc_dump_prev.dat` являются бинарными snapshot значений; добавлен декодер `scripts\python\decode_vplc_dump_snapshot.py`; dump пригоден для snapshot-проверки тегов (`cycle_counter`, `load_level`, `load_passes_effective`, `workload_accumulator`), но не содержит историю строк и timestamp, поэтому сам по себе не закрывает требование RawLogs-рядов для KPI",00_docs\stage_4_0_log.md
2026-05-09,Проверена доступная документация VPLC Studio на наличие ST timestamp API,validation,medium,"Пункт: 14 | Результат: Выполнено, требуется вопрос производителю | Поиск по встроенной документации VPLC Studio 4.1.3 beta не выявил опубликованных функций ST для timestamp/monotonic tick/system time/cycle time; подготовлен файл вопросов производителю `00_docs\vplc_vendor_questions_2026-05-09.md`; до ответа производителя внутренний ST timestamp для варианта D считается неподтверждённым",00_docs\stage_4_0_log.md
2026-05-09,Начата проработка кандидата A: `vplc status` collector,measurement,low,"Пункт: 14 | Результат: Подготовлено к TECH-запуску, RawLogs/KPI не сформированы | Добавлен `scripts\linux\collect_vplc_status_rawlogs.sh`; collector пишет `cycle_exec_ms` и `cycle_nominal_ms` из `vplc status`, оставляет `Tper/Jper/deadline_miss` пустыми и маркирует строки `quality_flag=technical_check`, чтобы не смешивать runtime status observation с per-cycle периодом",00_docs\stage_4_0_log.md
2026-05-09,Выполнен первый TECH-запуск `vplc status` collector,measurement,medium,"Пункт: 14 | Результат: Найден дефект CSV, требуется повтор | Файл `vplc\masc_vplc\status_probe\RUN_20260509_VPLC_L3_HIGH_75_100_S01_R01_TECH.csv` содержит 60 наблюдений, но timestamp был записан с запятой в дробной части (`date --iso-8601=ns` под локалью VPLC_HOST), из-за чего строки имеют 29 CSV-колонок вместо 28; collector исправлен на UTC timestamp с точкой, файл остаётся невалидным TECH-probe и не используется как RawLogs",00_docs\stage_4_0_log.md
2026-05-09,Выполнен повторный TECH-запуск `vplc status` collector,processing,low,"Пункт: 14 | Результат: Выполнено как TECH-probe, не KPI | Файл `vplc\masc_vplc\status_probe\RUN_20260509_VPLC_L3_HIGH_75_100_S01_R01B_TECH.csv` содержит 60 валидных CSV-строк и 28 колонок; `timestamp_source=host_log`, `quality_flag=technical_check`, `Tper/Jper/deadline_miss` пустые; для `load_level=3`, `load_passes=512` большинство `cycle_exec_ms` около `0.23-0.26 ms`, есть отдельные выбросы до нескольких ms, поэтому данные используются только для проверки варианта A и не трактуются как per-cycle `Tper`",00_docs\stage_4_0_log.md
2026-05-09,Зафиксировано практическое примечание для Главы 4 по VPLC timing source,decision,blocking,"Пункт: 14 | Результат: Выполнено как артефакт для текста ВКР | Создан файл `00_docs\chapter_4_vplc_timing_note.md`; решение: методика не переписывается, но в практической части явно разделяются S7 `Tper` по внутреннему timestamp и VPLC `cycle_exec_ms` из `vplc status`; прямое отождествление `cycle_exec_ms` с `Tper` не выполняется без подтверждения производителя",00_docs\stage_4_0_log.md
2026-05-09,Подготовлены инструменты для практической VPLC status серии,measurement,none,"Пункт: 14 | Результат: Подготовлено к съёму 1000 samples/run | Добавлены `scripts\windows\run_vplc_status_run.ps1` для запуска одного VPLC status run с `ENG_NODE` и `scripts\python\process_vplc_status_rawlogs.py` для расчёта `cycle_exec_*`, `Rover_exec`, `Lburst_exec`; схема `configs\rawlogs_schema_cycle_v0.yaml` расширена необязательными полями `cycle_exec_ms`, `cycle_nominal_ms`, `program_status`; VPLC status metrics хранятся отдельно от Siemens `Tper/Jper`",00_docs\stage_4_0_log.md
2026-05-10,Снята и обработана практическая VPLC status серия,measurement,low,"Пункт: 14 | Результат: Выполнено, метрики `cycle_exec_*` сформированы отдельно от `Tper` | Получены 25 CSV в `raw_logs\vplc_status` по 5 режимам и 5 повторам, по 1000 наблюдений в каждом; `scripts\python\process_vplc_status_rawlogs.py` сформировал `processed_tables\vplc_status\run_metrics.csv` и `mode_metrics.csv`; проверка целостности: 25/25 файлов валидны, 5 режимов по 5000 строк, `quality_flag=technical_check`, `timestamp_source=host_log`, `Tper/Jper/deadline_miss` пустые; данные используются как VPLC runtime status metrics, не как внутренний `Tper`",00_docs\stage_4_0_log.md
2026-05-10,Зафиксирована допустимая интерпретация сравнения S7 и VPLC при разных источниках времени,processing,blocking,"Пункт: 14, 20 | Результат: Выполнено как методическое ограничение для Главы 4 | Сравнение сохраняется по одинаковым режимам нагрузки, но разделяется на строгие timing KPI S7 (`Tper/Jper/deadline_miss`) и наблюдаемые runtime status KPI VPLC (`cycle_exec_*`, `Rover_exec`, `Lburst_exec`); `cycle_exec_ms` не подменяет `Tper`, а прямое сравнение `Tper` S7 с `Tper` VPLC не выполняется",00_docs\stage_4_0_log.md
2026-05-10,Отправлен технический запрос производителю VPLC,processing,none,"Пункт: 14, 20 | Результат: Выполнено, ответ ожидается | Производителю VPLC направлены вопросы из `00_docs\vplc_vendor_questions_2026-05-09.md` и Siemens SCL-исходники из `plc\siemens_s7_1200\scl_sources` как ориентир по уже полученным метрикам `Tper_ms`, `Jper_ms`, `deadline_miss`; отсутствие ответа не блокирует дальнейшую обработку, текущая практическая интерпретация остаётся по зафиксированному ограничению: S7 timing KPI отдельно, VPLC runtime status KPI отдельно",00_docs\stage_4_0_log.md
2026-05-10,Получена обновлённая документация MAX Automation и найден VPLC time source candidate,validation,medium,"Пункт: 14 | Результат: Выполнено, требуется TECH-проверка в VPLC Studio | В `documentation\v0.4_Функции_MASC_ВПЛК.pdf` и `v0.5_Функции_MASC_ВПЛК.pdf` найдены системные переменные времени, включая `_milliseconds_from_start_ : LREAL` (`Количество миллисекунд от запуска ВПЛК`); добавлен пробник `vplc\masc_vplc\st_sources\VPLC_TimingProbe_v0_3.st` и карта переменных `variables_timing_probe_v0_3.yaml` для проверки внутреннего расчёта `Tper_ms/Jper_ms/deadline_miss` в ST",00_docs\stage_4_0_log.md
2026-05-10,Подготовлен VPLC workload v0.3 для чистого сравнения с S7,measurement,none,"Пункт: 14 | Результат: Подготовлено к проверке в VPLC Studio | Добавлены `vplc\masc_vplc\st_sources\VPLC_WorkloadCycle_v0_3_timing_log.st`, `variables_v0_3_timing_log.yaml` и конвертер `scripts\python\convert_vplc_dump_to_rawlogs.py`; подход: VPLC считает `Tper_ms/Jper_ms/deadline_miss` внутри ST через `_milliseconds_from_start_`, пишет 1000 строк в массивный кольцевой лог, dump конвертируется в RawLogs с `timestamp_source=vplc_internal`",00_docs\stage_4_0_log.md
2026-05-10,Собран проект VPLC workload v0.3 с внутренним timing/log,measurement,medium,"Пункт: 14 | Результат: Сборка выполнена, требуется загрузка и TECH-снимок dump | Проект `vplc\masc_vplc\vkr_vplc_wl_timing_v03\vkr_vplc_wl_timing_v03.vplc` собран в VPLC Studio; по сообщению Studio от 10.05.2026 20:07:46: `Проект собран и готов к загрузке в ВПЛК`; следующий шаг - загрузить проект, проверить `Tper_ms/Jper_ms/deadline_miss`, заполнение массивов `log_*`, остановку логирования через `freeze_logging` и конвертацию `vplc_dump.dat`/`vplc_dump_dict.dat` в RawLogs",00_docs\stage_4_0_log.md
